X	logFC	FDR
NCU06316	5.30307699740008	1.91835091105344e-09
NCU03792	2.289677394064	1.91835091105344e-09
NCU05187	4.55050999638901	1.93160863447185e-09
NCU06989	3.74026719679226	1.94253355144725e-09
tetrahydroxynaphthalene reductase-2 reductase	8.81376171612163	1.94367691906165e-09
NCU10091	3.66828818968009	1.97997816402514e-09
NCU01355	4.00782987997041	1.98618853077326e-09
NCU04608	4.40845997852586	1.99989729295624e-09
NCU09022	2.72069022477357	2.02957427169461e-09
NCU17215	4.65332657258931	2.06619578976365e-09
NCU08772	3.18607863613004	2.06619578976365e-09
NCU16960	5.21591160991841	2.06619578976365e-09
NCU05694	4.14166062345716	2.0881247184869e-09
cys-16	2.90464227891472	2.0926015768945e-09
NCU03602	2.58416693698318	2.1270290982097e-09
NCU03730	2.64968864102424	2.16052053622837e-09
NCU08086	6.96495718534372	2.27189176774223e-09
NCU01672	4.17016880996215	2.32382690438014e-09
poi-2	6.76890824642776	2.3847737299789e-09
NCU09771	3.8601369585028	2.38518114895742e-09
NCU09335	4.58417598985582	2.42180903091148e-09
cax	3.53153670446952	2.43778288991992e-09
NCU03288	3.32473994097632	2.47628688481905e-09
NCU09173	5.050864056755	2.49202255336515e-09
NCU02880	5.46905095344756	2.49259972631496e-09
NCU10538	6.2643817521807	2.55845795855232e-09
NCU08657	6.14895045833352	2.60181254834661e-09
NCU01305	4.13438027203999	2.60408576417104e-09
NCU03022	3.49083089482652	2.63065370404463e-09
gpr-4	3.84885244330716	2.65871553307268e-09
NCU07595	5.12294616673139	2.71992063754769e-09
NCU05699	3.92233823947197	2.73864076345486e-09
NCU17205	4.09440972148181	2.74976724437685e-09
NCU03518	4.16497127096237	2.86162792995372e-09
NCU07252	3.61886123100983	2.95557676469111e-09
NCU10883	4.30152491696554	2.95800652431778e-09
NCU06281	2.74045647697249	2.95800652431778e-09
NCU05762	8.74623391658595	3.00228682370199e-09
NCU05182	3.05339550193496	3.01102974354402e-09
NCU00603	7.73795449793201	3.25025221185979e-09
tah-3	3.71807445364658	3.26716627349834e-09
NCU09072	6.72591048694983	3.40838050702474e-09
NCU07769	3.33829209867473	3.42699387013591e-09
NCU05094	2.7621488766515	3.43922134152658e-09
NCU02125	5.05660320072522	3.48427964510802e-09
NCU03506	4.47095082921299	3.57543881425145e-09
NCU06005	2.95582390331679	3.5811937164158e-09
NCU09178	3.46436714673327	3.63024938516397e-09
NCU00061	3.01080373057252	3.64178907665155e-09
NCU09362	2.07755401218983	3.69328399027227e-09
NCU09780	5.43946932827139	3.7615875208494e-09
NCU00026	3.3863723190909	3.76880373902918e-09
NCU09491	4.00411089581613	3.77920445357393e-09
NCU06255	3.62393802187625	3.77920445357393e-09
NCU10894	3.43691862397973	3.80441345516382e-09
NCU10001	3.21692037506318	3.82315524341261e-09
NCU02929	3.50182953971038	3.82315524341261e-09
NCU07855	3.06440233461189	4.10033790489879e-09
NCU08790	4.5677365794613	4.1340094874024e-09
NCU00696	3.96842043740747	4.1340094874024e-09
NCU07123	2.30457986333854	4.14847461385924e-09
NCU05664	2.64800542438316	4.2013464922113e-09
NCU12028	8.15253248234953	4.22151065089291e-09
NCU09167	7.91103943826541	4.25972419169029e-09
NCU03626	2.73251816636563	4.27857383012267e-09
NCU10965	3.18127147600001	4.2936800288288e-09
NCU05928	6.64109496807551	4.2936800288288e-09
NCU08779	3.59040238659098	4.34803584744423e-09
NCU09575	6.04879353847514	4.34803584744423e-09
NCU00208	5.49693430330626	4.3488391587659e-09
