SampleID,Strain,Antibody,Condition,Treatment,Replicate,bamReads,Peaks,Peakcaller
cac-1_K4me2_Rep_2,cac1,H3K4me2,ChIP,,2,bam_files/DiffBind/CAF/146-30_ChIP_cac-1_H3K4me2_Rep2_S30.bam,../peak_files/DiffBind/CAF-1_Paper/cac-1_H3K4me2_Rep2_peaks.broadPeak,macs
cac-2_K4me2_Rep_1,cac2,H3K4me2,ChIP,,1,bam_files/DiffBind/CAF/146-21_ChIP_cac-2_H3K4me2_Rep1_S21.bam,../peak_files/DiffBind/CAF-1_Paper/cac-2_H3K4me2_Rep1_peaks.broadPeak,macs
cac-2_K4me2_Rep_2,cac2,H3K4me2,ChIP,,2,bam_files/DiffBind/CAF/146-31_ChIP_cac-2_H3K4me2_Rep2_S31.bam,../peak_files/DiffBind/CAF-1_Paper/cac-2_H3K4me2_Rep2_peaks.broadPeak,macs
cac-3_K4me2_Rep_1,cac3,H3K4me2,ChIP,,1,bam_files/DiffBind/CAF/146-22_ChIP_cac-3_H3K4me2_Rep1_S22.bam,../peak_files/DiffBind/CAF-1_Paper/cac-3_H3K4me2_Rep1_peaks.broadPeak,macs
cac-3_K4me2_Rep_2,cac3,H3K4me2,ChIP,,2,bam_files/DiffBind/CAF/146-32_ChIP_cac-3_H3K4me2_Rep2_S32.bam,../peak_files/DiffBind/CAF-1_Paper/cac-3_H3K4me2_Rep2_peaks.broadPeak,macs
set-7_K4me2_Rep_1,set7,H3K4me2,ChIP,,1,bam_files/DiffBind/CAF/146-23_ChIP_set-7_H3K4me2_Rep1_S23.bam,../peak_files/DiffBind/CAF-1_Paper/set-7_H3K4me2_Rep1_peaks.broadPeak,macs
set-7_K4me2_Rep_2,set7,H3K4me2,ChIP,,2,bam_files/DiffBind/CAF/146-33_ChIP_set-7_H3K4me2_Rep2_S33.bam,../peak_files/DiffBind/CAF-1_Paper/set-7_H3K4me2_Rep2_peaks.broadPeak,macs
cac-1_suz-12_K4me2_Rep_1,cac1_suz12,H3K4me2,ChIP,,1,bam_files/DiffBind/CAF/152-107_ChIP_cac-1_suz12_H3K4me2_Rep2_S131.bam,../peak_files/DiffBind/CAF-1_Paper/cac1_suz12_H3K4me2_Rep1_peaks.broadPeak,macs
cac-1_suz-12_K4me2_Rep_2,cac1_suz12,H3K4me2,ChIP,,2,bam_files/DiffBind/CAF/152-104_ChIP_cac-1_suz12_H3K4me2_Rep1_S128.bam,../peak_files/DiffBind/CAF-1_Paper/cac1_suz12_H3K4me2_Rep2_peaks.broadPeak,macs
cac-1_suz-12_K4me2_Rep_3,cac1_suz12,H3K4me2,ChIP,,3,bam_files/DiffBind/CAF/152-85_ChIP_cac-1_suz12_H3K4me2_Rep3_S85.bam,../peak_files/DiffBind/CAF-1_Paper/cac1_suz12_H3K4me2_Rep3_peaks.broadPeak,macs
suz-12_K4me2_Rep_1,suz12,H3K4me2,ChIP,,4,bam_files/DiffBind/CAF/152-106_ChIP_suz12_H3K4me2_Rep2_S130.bam,../peak_files/DiffBind/CAF-1_Paper/suz12_H3K4me2_Rep1_peaks.broadPeak,macs
suz-12_K4me2_Rep_2,suz12,H3K4me2,ChIP,,5,bam_files/DiffBind/CAF/152-103_ChIP_suz12_H3K4me2_Rep1_S127.bam,../peak_files/DiffBind/CAF-1_Paper/suz12_H3K4me2_Rep2_peaks.broadPeak,macs
suz-12_K4me2_Rep_3,suz12,H3K4me2,ChIP,,6,bam_files/DiffBind/CAF/152-83_ChIP_suz12_H3K4me2_Rep3_S83.bam,../peak_files/DiffBind/CAF-1_Paper/suz12_H3K4me2_Rep3_peaks.broadPeak,macs
