X	logFC	FDR
NCU00988	4.31891286955176	5.83101784325041e-07
NCU11383	3.85503429298478	5.88898633011375e-07
cbh-1	2.10891905840716	5.95221608925609e-07
NCU07143	2.68822465478569	6.0101971594006e-07
NCU03532	3.85396560778173	6.24927258082296e-07
NCU07109	3.5630736414841	6.32777972860276e-07
NCU09761	4.55565284101531	6.61269341625175e-07
amt	3.24486306760366	6.61269341625175e-07
NCU05188	2.84559492684764	6.66484246046961e-07
NCU17215	3.09765399319268	6.82360964983582e-07
NCU02253	2.0940717387533	6.83004232997362e-07
NCU06071	2.58696237387821	6.90958852517989e-07
NCU09279	3.9451196729148	7.01071852665169e-07
NCU01529	2.76318126991642	7.05769614635338e-07
NCU17263	3.14080300371709	7.10723779520157e-07
NCU07622	2.23275576578064	7.38005615662861e-07
NCU08842	2.41016717548579	7.45760387890604e-07
NCU02654	2.94860318721818	7.61510264150189e-07
NCU09907	4.387853259176	7.67627220312495e-07
NCU09029	2.53908158378025	7.69675344881195e-07
NCU05506	3.51153982720877	7.70415180539345e-07
NCU08180	4.3197963348083	7.94499669833466e-07
NCU05929	3.36247563783153	8.37203583930755e-07
NCU08222	5.21134715062369	8.39134295216852e-07
NCU04608	2.94114541129984	8.50716762537124e-07
NCU11088	2.37889620101984	8.62029669024224e-07
NCU00850	3.98463406510385	8.65494994606781e-07
NCU02074	2.69365821531422	8.66968958153589e-07
NCU03506	2.95207995105213	8.77430724301555e-07
NCU11342	2.59615358203164	8.83534292080092e-07
NCU00246	2.46294559256482	8.83628459713183e-07
NCU09810	2.04731695123831	8.99277448498606e-07
NCU06525	3.79697667981939	9.05463787930761e-07
NCU00773	3.46885307162812	9.13516478213178e-07
gh3-6	2.17309569954328	9.52372212093972e-07
NCU03208	2.96725295600694	9.52372212093972e-07
NCU05872	3.73072604462414	9.54323173418309e-07
NCU05047	2.98186767579806	9.78039796328238e-07
NCU09173	3.34454217748443	1.01821756494577e-06
NCU09652	2.04677574371345	1.0717254681308e-06
NCU10031	5.78421078192327	1.08911430424992e-06
NCU02122	2.4726296736573	1.10155987081847e-06
NCU09027	2.03399359200441	1.1219654706329e-06
NCU17127	2.9079018332101	1.12345338981152e-06
NCU04919	4.76095189145641	1.13199406426858e-06
NCU03940	3.01398893785454	1.1365272827777e-06
NCU00922	4.22075551779852	1.1365272827777e-06
NCU09669	2.50934606446214	1.14712558464819e-06
NCU05668	3.56706933659023	1.15288154898299e-06
app	3.75923293069838	1.16989323511817e-06
NCU01407	2.03307453867025	1.17053091486415e-06
NCU16405	2.55697666854695	1.1710870811991e-06
NCU08735	3.25660641070854	1.18251515857675e-06
NCU05229	2.23000215887019	1.18267566198227e-06
NCU02600	2.27457805129757	1.20424776452473e-06
bli-4	5.58111103628672	1.22246424438674e-06
NCU05705	2.3200920522356	1.252213098803e-06
